source,native_id,id,requirement_title,requirement_description,naics,estimated_value,est_value_unit,solicitation_date,award_date,office,place_city,place_state,place_country,contract_type,set_aside,loaded_at,extra
DHS,F2019048487,fb287c6db4ed45810a0f28d67ce064b3,MINOTAUR RAPID REACTION AND PROTOTYPING ENGINEERING SUPPORT,"This contract will serve to continue the technological upgrades required for Customs and Border Protection (CBP) Air and Marine Operations (AMO) to remain relevant with the rapidly improving technological changes in airborne sensors, processing capabilities and sensor data dissemination. Johns Hopkins University Applied Physics Lab (JHU/APL) has a long history with AMO in providing rapid reaction and prototyping activities that have procured technologies that enhance AMO operational imperatives and existing capabilities for successful mission execution.",541330 - Engineering Services,10000000.0,$10M TO $20M,2020-04-17,2025-07-01,CBP/Air and Marine,Washington D.C.,DC,USA,,,,"{'contract_vehicle': 'Definitive Contract', 'small_business_program': 'nan', 'contract_status': 'New Requirement, No Contract', 'contract_number': 'nan', 'contractor': 'nan', 'primary_contact_first_name': 'Kenneth', 'primary_contact_last_name': 'James', 'primary_contact_phone': '(202) 325-4686', 'primary_contact_email': 'Kenneth.t.james@cbp.dhs.gov', 'forecast_published': '03/09/2020', 'forecast_previously_published': 'nan'}"
DHS,*F2020051866,5f03e29c7751763a7a2e043cb6c489df,Vulkan USA Couplings and Elements,"The U.S. Coast Guard, Surface Forces Logistics Center (SFLC), Ice Breaker Buoy and Construction Tender Product Line anticipates issuing a sole source solicitation to Vulkan USA for the purchase of coupling elements. The contract would be for one (1) year, with four (4) option years. These parts fit the 270 WMEC, 225 WLB, 175 WLM, 75 WLIC and 75/65 WLR cutters.","333612 - Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",5000000.0,$5M TO $10M,2025-04-30,2025-04-01,USCG/SFLC,Winter Haven,FL,USA,Firm Fixed Price,,,"{'contract_vehicle': 'Indefinite Delivery Contract', 'small_business_program': 'nan', 'contract_status': 'New Requirement, No Contract', 'contract_number': 'nan', 'contractor': 'nan', 'primary_contact_first_name': 'Dan', 'primary_contact_last_name': 'Kane', 'primary_contact_phone': '(410) 762-6827', 'primary_contact_email': 'Charles.D.Kane@uscg.mil', 'forecast_published': '02/19/2025', 'forecast_previously_published': '10/06/2023'}"
DHS,F2020052049,f3252552b777cf7c328b1d0fa2fe30ec,Procurement of new Biometrics at Sea System,"The expense is required to support the procurement and implmentation of the USCG's new Biometric at Sea System to be deployed onboard Cutters throughout the service performing AMIO and WHTZ mission sets. Procurements will be executed via MIPR through existing DOD contracts IAW guidance from DFBA and partner agencies. This opportunity aligns with new C5ISC Project Charter, Tailoring Plan, engineering reviews, project timeline and supports new operational, functional and system requirements documents publsihed in 2019 and 2020. 
 
 C5I-0041-21 Biometrics At Sea System Spend Plan: C5I-0041-21-02.1
 AR-21-005
 Q1FY21 execution",541519 - Other Computer Related Services,2000000.0,$2M TO $5M,2021-03-01,2025-01-01,USCG/CG-914,Existing DOD R3 Contact Vehicle,DC,USA,,,,"{'contract_vehicle': 'Definitive Contract', 'small_business_program': 'nan', 'contract_status': 'New Requirement, No Contract', 'contract_number': 'nan', 'contractor': 'nan', 'primary_contact_first_name': 'Robert', 'primary_contact_last_name': 'Mason', 'primary_contact_phone': '(757) 295-2065', 'primary_contact_email': 'Robert.Mason@uscg.mil', 'forecast_published': '08/31/2020', 'forecast_previously_published': 'nan'}"
DHS,F2021052728,c48e6ea7df30cc1bd6ac0b171c1f4394,Firing Range Service,"The Department of Homeland Security (DHS), U.S. Customs and
 Border Protection (CBP), Office of Field Operations (OFO), Field Operations, Miami
 (FOM), Miami Service Port has an immediate requirement for use of an outdoor
 weapons firing range located at Metropolitan Miami, Florida area.
 FACILITY REQUIREMENTS:
 • Main Range – must be 50 yards to accommodate pistol and shotgun uses and should be able to accommodate up to 40 shooters at one time.
 • Additional Range – must be able to accommodate up to 9 shooters at one time.
 • 100 yard range to accommodate rifle shooters.
 • Class room Facility to accommodate officers.
 • Separate area to provide non-lethal force training. NOTE - 
 FACILITY MUST BE WITHIN A TWENTY (20) MILE RADIUS
 
 Acquisition Strategy: Open Market",713990 - All Other Amusement and Recreation Industries,500000.0,$500K TO $1M,2025-10-28,2024-10-01,CBP,Miami,FL,USA,,,,"{'contract_vehicle': 'Blanket Purchase Agreement (BPA)', 'small_business_program': 'nan', 'contract_status': 'Follow-on to Existing Contract', 'contract_number': 'HSBP1015A00005', 'contractor': 'TrailGlades Firing Range', 'primary_contact_first_name': 'Nisha', 'primary_contact_last_name': 'Wills', 'primary_contact_phone': '(305) 849-5199', 'primary_contact_email': 'nisha.Wills@cbp.dhs.gov', 'forecast_published': '07/01/2021', 'forecast_previously_published': '10/26/2020'}"
DHS,*F2021054660,b63effb4fc7bc0884176a1b38c0c6082,ALCO 251 PARTS,"The United States Coast Guard (USCG) Surface Forces Logistics Center (SFLC) Medium Endurance Cutter Product Line (MECPL) has a need for development of a requirements type contract for the purchase of various FME ALCO 251 series engine individual parts. This contract shall consist of a base year with four option years. These parts are individual engine piece parts, components and accessories are to be used for the completion of unplanned and scheduled depot and unit level maintenance for ALCO 251 engines onboard Coast Guard MEC and Long Range Enforcer Product Line cutters (LREPL). These parts shall contain only new original equipment manufacturer (OEM), Fairbanks Morse, LLC certified parts.  The USCG anticipates making a sole source award to the OEM; however, the agency may consider a capability statement, proposal, or quotation from all responsible sources.",333618 - Other Engine Equipment Manufacturing,100000000.0,OVER $100M,2026-03-28,2025-07-01,USCG/SFLC,Beloit,WI,USA,Firm Fixed Price,,,"{'contract_vehicle': 'Indefinite Delivery Contract', 'small_business_program': 'nan', 'contract_status': 'New Requirement, No Contract', 'contract_number': 'nan', 'contractor': 'nan', 'primary_contact_first_name': 'Mark', 'primary_contact_last_name': 'Lovingood', 'primary_contact_phone': '(410) 762-6922', 'primary_contact_email': 'mark.a.lovingood2@uscg.mil', 'forecast_published': '10/04/2024', 'forecast_previously_published': '04/03/2024'}"
DHS,*F2021054744,bb98a18d189e97a421d6637766bfec30,WMSL MPDE Maintenance Services,"The United States Coast Guard (USCG) has a requirement for the following: Execution of planned and unplanned maintenance, inspection, and repairs of the MPDEs in accordance with the manufacturer's published maintenance schedule. Work will be performed for up to 11 Maritime Security Cutter-Large (WMSL) cutters; currently homeported at Alameda, CA; Charleston, SC; and Honolulu, HI.  The WMSL cutter fleet runs on Rolls Royce Solutions America, Inc. / MTU America, Inc. 20V1168 TB93 MDPEs. 
 
 ****The new anticipated award date is 4th QTR FY 2025 and the period of performance is 10 years*****",336611 - Ship Building and Repairing,100000000.0,OVER $100M,2025-04-28,2025-07-01,USCG/SFLC,Multiple,,USA,Firm Fixed Price,,,"{'contract_vehicle': 'Indefinite Delivery Contract', 'small_business_program': 'nan', 'contract_status': 'New Requirement, No Contract', 'contract_number': 'nan', 'contractor': 'nan', 'primary_contact_first_name': 'Nathaniel', 'primary_contact_last_name': 'Selavka', 'primary_contact_phone': '(510) 437-6214', 'primary_contact_email': 'nathaniel.p.selavka@uscg.mil', 'forecast_published': '02/27/2025', 'forecast_previously_published': '12/13/2024'}"
DHS,F2021055783,bb938bae72132bc8ed099c73c80ad5c9,UMG/KVM Console Upgrade,The USCG data center is looking into replacing the existing UMG/KVM consoles used on the enterprise data center floor.,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",250000.0,$250K TO $500K,2025-04-01,2025-07-01,USCG/CG-914,Kearneysville,WV,USA,Firm Fixed Price,Full,,"{'contract_vehicle': 'DWAC', 'small_business_program': 'TBD', 'contract_status': 'New Requirement, No Contract', 'contract_number': 'nan', 'contractor': 'nan', 'primary_contact_first_name': 'Mike', 'primary_contact_last_name': 'McFadden', 'primary_contact_phone': '(703) 203-3198', 'primary_contact_email': 'michael.a.mcfadden@uscg.mil', 'forecast_published': '06/24/2024', 'forecast_previously_published': 'nan'}"
DHS,*F2022058977,f4248977d6787eacca7ca07459646491,Agile C5ISC Operational & Modernization Pipeline for Application Support Services (COMPASS),"The US Coast Guard Command, Control, Communications, Computers, Cyber, and Intelligence (C5ISC) develops, deploys, maintains, operates, and provides user support for 30+ USCG Enterprise Information Systems (EIS) and numerous applications in order to improve mission effectiveness.  
 
 In 1st quarter FY25, the USCG C5ISC Engineering Services Division (ESD) intends to award a portfolio of Multiple Award Blanket Purchase Agreements with the potential for multiple Calls, not-to-exceed a 60-month Period of Performance, for agile development and full lifecycle support of modernized and legacy systems & applications (preventative, corrective, and adaptive maintenance) for all current and future USCG EIS developed and maintained by the C5ISC.  It is anticipated that initially one BPA call will be awarded per C5ISC Product Line (PL. Currently C5ISC ESD-APP supports four (4) Product Lines: Mission Support Systems Product Line (MSSPL), Operations Information Systems Product Line (OISPL), Unified Capabilities Product Line (UCPL), Command, Control, & Navigations (C2PL).  Product Lines may be added, changed, or deleted during the execution of the Agile Compass BPA(s).",541512 - Computer Systems Design Services,100000000.0,OVER $100M,2025-03-04,2025-07-01,USCG/CG-914,Kearneysville,WV,USA,Firm Fixed Price,,,"{'contract_vehicle': 'GSA Schedule', 'small_business_program': '8(a)', 'contract_status': 'Follow-on to Existing Contract', 'contract_number': '70Z0G318DPWX00500', 'contractor': 'Synergy Business Innovations & Solutions, Inc.', 'primary_contact_first_name': 'Craig', 'primary_contact_last_name': 'Anderson', 'primary_contact_phone': '(703) 417-5585', 'primary_contact_email': 'Craig.E.Anderson@uscg.mil', 'forecast_published': '03/18/2025', 'forecast_previously_published': '06/13/2024'}"
DHS,*F2022059122,125c850256a61c2d3cf2e217a7fbfa61,"Construction Inspection Services, Cleveland Waterfront Facilities - Rehabilitate Waterfront, Station Cleveland Harbor, Cleveland, OH","Provide construction inspection services for a design-build contract at USCG MSU Cleveland Harbor for the Rehabilitate Waterfront project site. The scope of the construction project includes a new waterfront infrastructure, site work, utility work, temporary facilities, demolition, etc. as required. Construction work includes but no limited to; a new bulkhead, tieback/anchors, fender system, concrete cap, cutter utility shore ties (telecom, electrical, water, & sewer). Repair the float pier and marine fuel distribution system and bilge water tank. Install new sanitary sewer lines to prevent freezing and sloped for positive flow. Sitework includes pavement patching, utility work, lighting, striping, etc.",541330 - Engineering Services,250000.0,$250K TO $500K,2025-05-12,2025-04-01,USCG/SILC-Const.,Cleveland,OH,USA,Firm Fixed Price,,,"{'contract_vehicle': 'GSA Schedule', 'small_business_program': 'TBD', 'contract_status': 'New Requirement, No Contract', 'contract_number': 'nan', 'contractor': 'nan', 'primary_contact_first_name': 'Barbara', 'primary_contact_last_name': 'Williamson-Garris', 'primary_contact_phone': '(206) 782-1044', 'primary_contact_email': 'Barbara.L.Williamson-Garris@uscg.mil', 'forecast_published': '04/29/2025', 'forecast_previously_published': '08/22/2022'}"
DHS,*F2022059164,1e3e3601640a67338a275484b80fbef6,Business and Logistics Support Services,"The scope of this Blanket Purchase Agreement (BPA) is to obtain staff augmentation for non-inherently Government tasking for Contractor Consulting, Project Management and Support, Strategic Planning, Portfolio Management, Business Process Planning, Process Integration Planning, Facilities Planning, Marketing and Communications Planning Services, Life Cycle Cost Estimation Services, expert highly specialized and complex Acquisitions Lifecycle Support, Enterprise Life Cycle Logistics and Engineering Support to include: Material, Configuration, Business, and Inventory Management, Logistics Supply Support, and Planned Maintenance Development Support Services.  These services shall support the missions and requirements of the C5I Service Center (C5ISC); the Coast Guard Chief Information Officer’s (CIO) Office, Commandant (CG-4, CG-6, CG-7, and CG-93); and Coast Guard Cyber Command (CGCC). The Contractor shall provide services to support CGCYBER with CSSP program maturation and recertification, process development, and project management across the command.
 The support services shall provide support for the missions and requirements for operations, management, analysis, and other business and logistics functions that support the successful accomplishment of C5ISC, CIO; CG-6; and CGCC missions and requirements across afloat, air, deployable specialized forces, and ashore platforms at multiple locations. 
 
 The Contractor shall provide all necessary personnel, management, and administrative services required to meet the requirements of this BPA and subsequent calls issued. The Contractor must have Facility Clearance at the Level of Secret at the time of award. The Government will not sponsor the Contractor for clearance. 
 
 This BPA is a consolidation of two expiring BPAs awarded to: TeleSolv Consulting Inc. (BPA #70Z0G319APBY04100) and D&G Support Services, LLC (BPA # 70Z0H319APAZ05500)
 
 Multiple locations
 U.S. Coast Guard C5ISC at 7323 Telegraph Road, Alexandria, VA 20598.  
 U.S. Coast Guard C5ISC at 300 Main Street Towers, Norfolk, VA 23510.
 U.S. Coast Guard C5ISC at the Ronald V. Dellums Federal Building 1301, Oakland, CA 94612.
 U.S. Coast Guard C5ISC at 4000 Coast Guard Blvd, Portsmouth, VA 23703.
 U.S. Coast Guard C5ISC at 408 Coast Guard Drive, Kearneysville, WV 25430.
 U.S. Coast Guard C5ISC at USCG Headquarters, 2703 Martin Luther King Jr. Ave SE, Washington, DC 20593.",541611 - Administrative Management and General Management Consulting Services,100000000.0,OVER $100M,2025-04-11,2024-10-01,USCG/CG-914,Multiple,,USA,Firm Fixed Price,Full,,"{'contract_vehicle': 'GSA Schedule', 'small_business_program': 'SB', 'contract_status': 'New Requirement, No Contract', 'contract_number': 'nan', 'contractor': 'nan', 'primary_contact_first_name': 'Carrita', 'primary_contact_last_name': 'King', 'primary_contact_phone': '(703) 417-5865', 'primary_contact_email': 'carrita.l.king@uscg.mil', 'forecast_published': '02/20/2025', 'forecast_previously_published': '01/22/2025'}"
