source,native_id,id,requirement_title,requirement_description,naics,estimated_value,est_value_unit,solicitation_date,award_date,office,place_city,place_state,place_country,contract_type,set_aside,loaded_at,extra
DOJ,FY25-DEA-1524-15,171544921466f4a05303139c716c68fd,Forensic Science [FS] Evidence Specialists - All Labs,"​Contractor services needed to log, track, package, secure and coordinate the destruction of evidence",541611--Administrative Management and General Management Consulting Services,6000001.0,$6000001  -  $7000000,,,DEA-1524,Vista,CA,United States,[TBD],[TBD],,"{'fiscal_year': '2025', 'obd': 'Not Applicable', 'contracting_office': '15DDHQ--HEADQUATERS', 'doj_small_business_poc__name': 'nan', 'doj_small_business_poc__email_address': 'nan', 'doj_requirement_poc__name': 'nan', 'doj_requirement_poc__email_address': 'nan', 'category': 'Professional Services', 'subcategory': 'Business Admin Services', 'award_type': '[TBD]', 'product_service_code': 'R---SUPPORT SVCS (PROF, ADMIN, MGMT)', 'competition_approach': '[TBD]', 'contracting_solution': '[TBD]', 'contract_availability': '[TBD]', 'length_of_contract': 'Base Period Only', 'request_for_information_planned': 'TBD', 'acquisition_history': 'New Award', 'incumbent_contractor': 'nan', 'incumbent_contractor_piid': 'nan', 'solicitation_link': 'nan', 'other_information': 'nan'}"
DOJ,FY25-DEA-1524-15,171544921466f4a05303139c716c68fd,Forensic Science [FS] Evidence Specialists - All Labs,"​Contractor services needed to log, track, package, secure and coordinate the destruction of evidence",541611--Administrative Management and General Management Consulting Services,6000001.0,$6000001  -  $7000000,,,DEA-1524,Manchester,NH,United States,[TBD],[TBD],,"{'fiscal_year': '2025', 'obd': 'Not Applicable', 'contracting_office': '15DDHQ--HEADQUATERS', 'doj_small_business_poc__name': 'nan', 'doj_small_business_poc__email_address': 'nan', 'doj_requirement_poc__name': 'nan', 'doj_requirement_poc__email_address': 'nan', 'category': 'Professional Services', 'subcategory': 'Business Admin Services', 'award_type': '[TBD]', 'product_service_code': 'R---SUPPORT SVCS (PROF, ADMIN, MGMT)', 'competition_approach': '[TBD]', 'contracting_solution': '[TBD]', 'contract_availability': '[TBD]', 'length_of_contract': 'Base Period Only', 'request_for_information_planned': 'TBD', 'acquisition_history': 'New Award', 'incumbent_contractor': 'nan', 'incumbent_contractor_piid': 'nan', 'solicitation_link': 'nan', 'other_information': 'nan'}"
DOJ,FY25-DEA-1524-15,171544921466f4a05303139c716c68fd,Forensic Science [FS] Evidence Specialists - All Labs,"​Contractor services needed to log, track, package, secure and coordinate the destruction of evidence",541611--Administrative Management and General Management Consulting Services,6000001.0,$6000001  -  $7000000,,,DEA-1524,Dulles Town Center,VA,United States,[TBD],[TBD],,"{'fiscal_year': '2025', 'obd': 'Not Applicable', 'contracting_office': '15DDHQ--HEADQUATERS', 'doj_small_business_poc__name': 'nan', 'doj_small_business_poc__email_address': 'nan', 'doj_requirement_poc__name': 'nan', 'doj_requirement_poc__email_address': 'nan', 'category': 'Professional Services', 'subcategory': 'Business Admin Services', 'award_type': '[TBD]', 'product_service_code': 'R---SUPPORT SVCS (PROF, ADMIN, MGMT)', 'competition_approach': '[TBD]', 'contracting_solution': '[TBD]', 'contract_availability': '[TBD]', 'length_of_contract': 'Base Period Only', 'request_for_information_planned': 'TBD', 'acquisition_history': 'New Award', 'incumbent_contractor': 'nan', 'incumbent_contractor_piid': 'nan', 'solicitation_link': 'nan', 'other_information': 'nan'}"
DOJ,FY25-DEA-1524-15,171544921466f4a05303139c716c68fd,Forensic Science [FS] Evidence Specialists - All Labs,"​Contractor services needed to log, track, package, secure and coordinate the destruction of evidence",541611--Administrative Management and General Management Consulting Services,6000001.0,$6000001  -  $7000000,,,DEA-1524,New York,NY,United States,[TBD],[TBD],,"{'fiscal_year': '2025', 'obd': 'Not Applicable', 'contracting_office': '15DDHQ--HEADQUATERS', 'doj_small_business_poc__name': 'nan', 'doj_small_business_poc__email_address': 'nan', 'doj_requirement_poc__name': 'nan', 'doj_requirement_poc__email_address': 'nan', 'category': 'Professional Services', 'subcategory': 'Business Admin Services', 'award_type': '[TBD]', 'product_service_code': 'R---SUPPORT SVCS (PROF, ADMIN, MGMT)', 'competition_approach': '[TBD]', 'contracting_solution': '[TBD]', 'contract_availability': '[TBD]', 'length_of_contract': 'Base Period Only', 'request_for_information_planned': 'TBD', 'acquisition_history': 'New Award', 'incumbent_contractor': 'nan', 'incumbent_contractor_piid': 'nan', 'solicitation_link': 'nan', 'other_information': 'nan'}"
DOJ,FY25-DEA-1524-15,171544921466f4a05303139c716c68fd,Forensic Science [FS] Evidence Specialists - All Labs,"​Contractor services needed to log, track, package, secure and coordinate the destruction of evidence",541611--Administrative Management and General Management Consulting Services,6000001.0,$6000001  -  $7000000,,,DEA-1524,Dallas,TX,United States,[TBD],[TBD],,"{'fiscal_year': '2025', 'obd': 'Not Applicable', 'contracting_office': '15DDHQ--HEADQUATERS', 'doj_small_business_poc__name': 'nan', 'doj_small_business_poc__email_address': 'nan', 'doj_requirement_poc__name': 'nan', 'doj_requirement_poc__email_address': 'nan', 'category': 'Professional Services', 'subcategory': 'Business Admin Services', 'award_type': '[TBD]', 'product_service_code': 'R---SUPPORT SVCS (PROF, ADMIN, MGMT)', 'competition_approach': '[TBD]', 'contracting_solution': '[TBD]', 'contract_availability': '[TBD]', 'length_of_contract': 'Base Period Only', 'request_for_information_planned': 'TBD', 'acquisition_history': 'New Award', 'incumbent_contractor': 'nan', 'incumbent_contractor_piid': 'nan', 'solicitation_link': 'nan', 'other_information': 'nan'}"
DOJ,FY25-DEA-1524-15,171544921466f4a05303139c716c68fd,Forensic Science [FS] Evidence Specialists - All Labs,"​Contractor services needed to log, track, package, secure and coordinate the destruction of evidence",541611--Administrative Management and General Management Consulting Services,6000001.0,$6000001  -  $7000000,,,DEA-1524,Pleasanton,CA,United States,[TBD],[TBD],,"{'fiscal_year': '2025', 'obd': 'Not Applicable', 'contracting_office': '15DDHQ--HEADQUATERS', 'doj_small_business_poc__name': 'nan', 'doj_small_business_poc__email_address': 'nan', 'doj_requirement_poc__name': 'nan', 'doj_requirement_poc__email_address': 'nan', 'category': 'Professional Services', 'subcategory': 'Business Admin Services', 'award_type': '[TBD]', 'product_service_code': 'R---SUPPORT SVCS (PROF, ADMIN, MGMT)', 'competition_approach': '[TBD]', 'contracting_solution': '[TBD]', 'contract_availability': '[TBD]', 'length_of_contract': 'Base Period Only', 'request_for_information_planned': 'TBD', 'acquisition_history': 'New Award', 'incumbent_contractor': 'nan', 'incumbent_contractor_piid': 'nan', 'solicitation_link': 'nan', 'other_information': 'nan'}"
DOJ,FY25-DEA-1524-15,171544921466f4a05303139c716c68fd,Forensic Science [FS] Evidence Specialists - All Labs,"​Contractor services needed to log, track, package, secure and coordinate the destruction of evidence",541611--Administrative Management and General Management Consulting Services,6000001.0,$6000001  -  $7000000,,,DEA-1524,Largo,MD,United States,[TBD],[TBD],,"{'fiscal_year': '2025', 'obd': 'Not Applicable', 'contracting_office': '15DDHQ--HEADQUATERS', 'doj_small_business_poc__name': 'nan', 'doj_small_business_poc__email_address': 'nan', 'doj_requirement_poc__name': 'nan', 'doj_requirement_poc__email_address': 'nan', 'category': 'Professional Services', 'subcategory': 'Business Admin Services', 'award_type': '[TBD]', 'product_service_code': 'R---SUPPORT SVCS (PROF, ADMIN, MGMT)', 'competition_approach': '[TBD]', 'contracting_solution': '[TBD]', 'contract_availability': '[TBD]', 'length_of_contract': 'Base Period Only', 'request_for_information_planned': 'TBD', 'acquisition_history': 'New Award', 'incumbent_contractor': 'nan', 'incumbent_contractor_piid': 'nan', 'solicitation_link': 'nan', 'other_information': 'nan'}"
DOJ,FY25-DEA-1524-15,171544921466f4a05303139c716c68fd,Forensic Science [FS] Evidence Specialists - All Labs,"​Contractor services needed to log, track, package, secure and coordinate the destruction of evidence",541611--Administrative Management and General Management Consulting Services,6000001.0,$6000001  -  $7000000,,,DEA-1524,Lorton,VA,United States,[TBD],[TBD],,"{'fiscal_year': '2025', 'obd': 'Not Applicable', 'contracting_office': '15DDHQ--HEADQUATERS', 'doj_small_business_poc__name': 'nan', 'doj_small_business_poc__email_address': 'nan', 'doj_requirement_poc__name': 'nan', 'doj_requirement_poc__email_address': 'nan', 'category': 'Professional Services', 'subcategory': 'Business Admin Services', 'award_type': '[TBD]', 'product_service_code': 'R---SUPPORT SVCS (PROF, ADMIN, MGMT)', 'competition_approach': '[TBD]', 'contracting_solution': '[TBD]', 'contract_availability': '[TBD]', 'length_of_contract': 'Base Period Only', 'request_for_information_planned': 'TBD', 'acquisition_history': 'New Award', 'incumbent_contractor': 'nan', 'incumbent_contractor_piid': 'nan', 'solicitation_link': 'nan', 'other_information': 'nan'}"
DOJ,FY25-DEA-1524-15,171544921466f4a05303139c716c68fd,Forensic Science [FS] Evidence Specialists - All Labs,"​Contractor services needed to log, track, package, secure and coordinate the destruction of evidence",541611--Administrative Management and General Management Consulting Services,6000001.0,$6000001  -  $7000000,,,DEA-1524,Miami,FL,United States,[TBD],[TBD],,"{'fiscal_year': '2025', 'obd': 'Not Applicable', 'contracting_office': '15DDHQ--HEADQUATERS', 'doj_small_business_poc__name': 'nan', 'doj_small_business_poc__email_address': 'nan', 'doj_requirement_poc__name': 'nan', 'doj_requirement_poc__email_address': 'nan', 'category': 'Professional Services', 'subcategory': 'Business Admin Services', 'award_type': '[TBD]', 'product_service_code': 'R---SUPPORT SVCS (PROF, ADMIN, MGMT)', 'competition_approach': '[TBD]', 'contracting_solution': '[TBD]', 'contract_availability': '[TBD]', 'length_of_contract': 'Base Period Only', 'request_for_information_planned': 'TBD', 'acquisition_history': 'New Award', 'incumbent_contractor': 'nan', 'incumbent_contractor_piid': 'nan', 'solicitation_link': 'nan', 'other_information': 'nan'}"
DOJ,FY25-DEA-1524-15,171544921466f4a05303139c716c68fd,Forensic Science [FS] Evidence Specialists - All Labs,"​Contractor services needed to log, track, package, secure and coordinate the destruction of evidence",541611--Administrative Management and General Management Consulting Services,6000001.0,$6000001  -  $7000000,,,DEA-1524,Chicago,IL,United States,[TBD],[TBD],,"{'fiscal_year': '2025', 'obd': 'Not Applicable', 'contracting_office': '15DDHQ--HEADQUATERS', 'doj_small_business_poc__name': 'nan', 'doj_small_business_poc__email_address': 'nan', 'doj_requirement_poc__name': 'nan', 'doj_requirement_poc__email_address': 'nan', 'category': 'Professional Services', 'subcategory': 'Business Admin Services', 'award_type': '[TBD]', 'product_service_code': 'R---SUPPORT SVCS (PROF, ADMIN, MGMT)', 'competition_approach': '[TBD]', 'contracting_solution': '[TBD]', 'contract_availability': '[TBD]', 'length_of_contract': 'Base Period Only', 'request_for_information_planned': 'TBD', 'acquisition_history': 'New Award', 'incumbent_contractor': 'nan', 'incumbent_contractor_piid': 'nan', 'solicitation_link': 'nan', 'other_information': 'nan'}"
