source,native_id,id,requirement_title,requirement_description,naics,estimated_value,est_value_unit,solicitation_date,award_date,office,place_city,place_state,place_country,contract_type,set_aside,loaded_at,extra
DOS,19AQMM24C0074 P00002,253c26bd782bc28d62e0637b7fedd4c9,Contract - COLA,Information necessary to complete COLA adjustments,,1000000.0,>$1M AND <$5M,2025-06-06,2025-06-06,A/GO/AL,Washington,District of Columbia,United States,Fixed Price,HUBZone,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': '1 year', 'facility_security_clearance': 'Top Secret', 'past_competition': 'Sole Source', 'past_setaside': 'No', 'incumbent_contractor': 'Eagle Harbor Solutions LLC', 'contract_vehicle': 'nan', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Base period. Option 1 starts 6/15/25', 'extent_competed': '8(a)', 'modified': '2024-12-06 17:28:00'}"
DOS,19AQMM25C0078,528414ad67a098f044a87eb0292cf03d,Labor Contract,DPM Management & Mail Support Services,,20000000.0,>$20M AND <$50M,2025-06-06,2024-12-11,A/GO/OPS/DPM,Sterling,Virginia,United States,Fixed Price,Small Disadvantaged Business,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': '3 years', 'facility_security_clearance': 'Top Secret / Sensitive Compartmented Information', 'past_competition': 'Competitive', 'past_setaside': 'Small Disadvantaged Business', 'incumbent_contractor': 'Kapsuun', 'contract_vehicle': 'nan', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Award Pending', 'extent_competed': '8(a)', 'modified': '2024-12-06 17:18:00'}"
DOS,19AQMM25R0031,a41c139a82d5b402afc8b1420aa8836d,Warehouse labor contract,Warehouse labor contract,,20000000.0,>$20M AND <$50M,2025-06-06,2025-06-06,A/GO/OPS/SL,Lorton,Virginia,United States,Fixed Price,Small Disadvantaged Business,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': '5 years', 'facility_security_clearance': 'Top Secret / Sensitive Compartmented Information', 'past_competition': 'Sole Source', 'past_setaside': 'No', 'incumbent_contractor': 'Red Peak Technical Services, LLC', 'contract_vehicle': 'nan', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Award Pending', 'extent_competed': '8(a)', 'modified': '2024-12-06 17:22:00'}"
DOS,19AQMM18D0106,231c72b1725c75d7a86b76008677f186,Labor support for office,Contractor support,,1000000.0,>$1M AND <$5M,2025-06-06,2025-06-06,A/GO/OS,Washington,District of Columbia,United States,Labor-hour,No,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': '1 year', 'facility_security_clearance': 'Top Secret', 'past_competition': 'Competitive', 'past_setaside': 'No', 'incumbent_contractor': 'Copper River', 'contract_vehicle': 'nan', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Planning', 'extent_competed': 'nan', 'modified': '2024-12-06 17:28:00'}"
DOS,,65abf580564af5880476404e414f1692,CA/EX/HRD Human Support Services ,"The proposed contract will encompass a range of services, including Recruitment and Staffing, Administrative Assistance, Classification, Data Analytics, Management Analyst, and Labor Relations",,10000000.0,>$10M AND <$20M,2024-11-19,2024-12-31,CA/EX/GSD,Washington,District of Columbia,United States,Labor-hour,Small Business,,"{'fiscal_year': 'FY25', 'new_requirement': 'New', 'length_of_performance': '5 years', 'facility_security_clearance': 'Secret', 'past_competition': 'nan', 'past_setaside': 'Small Business', 'incumbent_contractor': 'nan', 'contract_vehicle': 'nan', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Planning', 'extent_competed': 'TBD', 'modified': '2024-12-10 14:57:00'}"
DOS,,88ef99ff7db694a1fdebd6f104ed1b74,CA/EX/GSD Acquisition Liaison Service,The contractor shall provide services to support the efficient management and execution of procurement activities,,1000000.0,>$1M AND <$5M,2024-12-26,2025-01-13,CA/EX/GSD,Washington,District of Columbia,United States,Labor-hour,Small Disadvantaged Business,,"{'fiscal_year': 'FY25', 'new_requirement': 'New', 'length_of_performance': '5 years', 'facility_security_clearance': 'Secret', 'past_competition': 'nan', 'past_setaside': 'Small Disadvantaged Business', 'incumbent_contractor': 'nan', 'contract_vehicle': 'nan', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Planning', 'extent_competed': 'TBD', 'modified': '2024-12-10 15:17:00'}"
DOS,19AQMM21F7025,7c91bf213722b02145cf8b66252ff81f,BRAVE 2.0,"The Department of State (DoS) Bureau of Consular Affairs (CA) needs a support contractor capable of providing an advanced set of business requirements-related services and other specialized support which will maximize the Bureau’s ability to analyze, vali",,20000000.0,>$20M AND <$50M,2025-08-11,2025-09-15,CA/EX/GSD,Washington,District of Columbia,United States,Time and Materials,No,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': '5 years', 'facility_security_clearance': 'Secret', 'past_competition': 'Competitive', 'past_setaside': 'No', 'incumbent_contractor': 'Guidehouse', 'contract_vehicle': 'nan', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Planning', 'extent_competed': 'TBD', 'modified': '2024-12-10 16:12:00'}"
DOS,19AQMM20F3846,ab58275c437ed495221fa2c0a82a1a22,VCES (Futron),Provide a refreshed AV system to support multiple modes of operation to include local presentations and video teleconference (VTC) calls for various conference rooms. These new systems will support sources and VTC from either one or multiple n,,500000.0,>$500K AND <$1M,2025-04-21,2025-09-15,CA/EX/GSD,Washington,District of Columbia,United States,Fixed Price,No,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': '5 years', 'facility_security_clearance': 'Top Secret', 'past_competition': 'Competitive', 'past_setaside': 'Small Business', 'incumbent_contractor': 'Futron', 'contract_vehicle': 'nan', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Planning', 'extent_competed': 'nan', 'modified': '2024-12-10 15:51:00'}"
DOS,19AQMM21P1775,f33cfa09e5372d31e4a3d47bd8701b6b,SalesForce KB ATO Documentation,"Support in the installation, configuration, assessment, and deployment of the Salesforce system",,250000.0,>$250K AND <$500K,2025-03-11,2025-06-30,CGFS/CST,Washington,District of Columbia,United States,Labor-Hour,No,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': 'Three to five years', 'facility_security_clearance': 'nan', 'past_competition': 'Sole Source', 'past_setaside': 'No', 'incumbent_contractor': 'Agility Technologies, Inc.', 'contract_vehicle': 'nan', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Acquisition Planning', 'extent_competed': 'Competitive', 'modified': '2024-12-17 17:14:00'}"
DOS,19AQMM20C0061,2c140f8993e9b9d445d68746316fb1b2,CGFS Currency Purchasing and Exchange Platform,Communication platform to facilitate foreign currency purchasing services and provide a foreign currency exchange rate API data feed,,500000.0,>$500K AND <$1M,2025-02-03,2025-03-30,CGFS/DO,"Charleston, Arlington","South Carolina, Virginia",United States,Fixed Price,No,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': 'Three to five years', 'facility_security_clearance': 'nan', 'past_competition': 'Competitive', 'past_setaside': 'No', 'incumbent_contractor': 'Refinitiv US, LLC', 'contract_vehicle': 'nan', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Acquisition Planning', 'extent_competed': 'Competitive', 'modified': '2024-12-17 17:13:00'}"
DOS,19AQMM21F2271,a3dcef5dc6d7d64e9d2ac1f3d8c418cd,Actuarial Services,Actuarial valuation and analyses,,500000.0,>$500K AND <$1M,2025-03-11,2025-06-07,CGFS/FPRA,Washington,District of Columbia,United States,Labor-Hour,Small Business,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': 'Three to five years', 'facility_security_clearance': 'nan', 'past_competition': 'Competitive', 'past_setaside': 'Small Business', 'incumbent_contractor': 'Milliman, Inc.', 'contract_vehicle': 'nan', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Acquisition Planning', 'extent_competed': 'Competitive', 'modified': '2024-12-17 17:14:00'}"
DOS,SAQMMA14F2094,105f84850970c7c10db8a3f6a8c37d7b,Compensation and Financial System Services ,"Continuous O&M of current financial systems supporting payroll, time and attendance, retirement, accounting and financial operations, as well as system planning, development, implementation, O&M for a new and more efficient platform ",,50000000.0,>$50M AND <$100M,2024-10-30,2025-02-27,CGFS/GFMS,Washington,District of Columbia,United States,Labor-Hour,No,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': 'Three to five years', 'facility_security_clearance': 'Top Secret', 'past_competition': 'Competitive', 'past_setaside': 'Small Business', 'incumbent_contractor': 'SOS International, LLC', 'contract_vehicle': 'GSA MAS', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Evaluation Stage', 'extent_competed': 'Competitive', 'modified': '2024-12-17 17:13:00'}"
DOS,SAQMMA17A0120 ,a274d6c8a24e05e504cb0182eaeb0a49,System Analysis Implementation and Support Services,"Financial management systems analysis, systems implementation, and life cycle management support ",,1000000.0,>$1M AND <$5M,2025-02-16,2025-09-26,CGFS/GFMS,Washington,District of Columbia,United States,Labor-Hour,No,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': 'Three to five years', 'facility_security_clearance': 'Top Secret', 'past_competition': 'Competitive', 'past_setaside': 'No', 'incumbent_contractor': 'MIL Corporation', 'contract_vehicle': 'GSA MAS', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Drafting solicitation', 'extent_competed': 'Competitive', 'modified': '2024-12-17 17:13:00'}"
DOS,19AQMM23F0584,b2eade2eab83987fc3c17db98e9d8bea,NVMe disk shelf and PCI cards Susan Bowers,NVMe Disk Shelf and PCI cards (Netapp),,500000.0,>$500K AND <$1M,2025-02-03,2025-03-15,CGFS/GSO,Washington,District of Columbia,United States,Fixed Price,Small Business,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': 'One to three years', 'facility_security_clearance': 'nan', 'past_competition': 'Competitive', 'past_setaside': 'Small Business', 'incumbent_contractor': 'FCN, Inc.', 'contract_vehicle': 'NASA SEWP', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Acquisition Planning', 'extent_competed': 'Competitive', 'modified': '2024-12-17 17:14:00'}"
DOS,19AQMM24F0696,33589a523be82df5bc3acdbdcd2bd240,BMC Control M Renewal,BMC Control M Software Maintenance Renewal,,500000.0,>$500K AND <$1M,2025-02-03,2025-03-29,CGFS/GSO,Washington,District of Columbia,United States,Fixed Price,Service-Disabled Veteran Owned Small Business,,"{'fiscal_year': 'FY25', 'new_requirement': 'Recompete', 'length_of_performance': 'One year or less', 'facility_security_clearance': 'nan', 'past_competition': 'Competitive', 'past_setaside': 'Small Business', 'incumbent_contractor': 'New Tech Solutions, Inc.', 'contract_vehicle': 'NASA SEWP', 'program_funding_agency': 'Department of State', 'acquisition_phase': 'Acquisition Planning', 'extent_competed': 'Competitive', 'modified': '2024-12-17 17:14:00'}"
