source,native_id,id,requirement_title,requirement_description,naics,estimated_value,est_value_unit,solicitation_date,award_date,office,place_city,place_state,place_country,contract_type,set_aside,loaded_at,extra
DOT,2024-038,36db0e23a7ebfb178df253b04618bb41,CA ERFO 2021-02(5),N. COFFEE CREEK TRAIL BRIDGE.,237310.0,2000000.0,$2 MILLION TO $5 MILLION,2024-10-01,,FHWA - Central Federal Lands Highway Division,,,USA,,8(a) non-competitive,,"{'agency': 'FHWA', 'fy': '2024', 'procurement_category': 'Construction', 'incumbentcontract_number': 'nan', 'updates': 'nan', 'contact_name': 'Joe Wilson', 'contact_email': 'CFLacquisitions@dot.gov', 'contact_phone': '720-963-3500', 'is_this_a_followon_to_a_current_8a_contract': 'No', 'is_this_funded_through_the_american_recovery_and_reinvestment_act': 'nan', 'contract_awarded': 'No', 'expected_period_of_performance__start': 'nan', 'expected_period_of_performance__end': 'nan', 'personnel_clearance_requirements': 'No', 'date_modified': 'August 9, 2023', 'incumbent_contractor': 'nan', 'contract_vehicle': 'nan', 'bipartisan_infrastructure_law_opportunity': 'nan'}"
DOT,2025-025,d4be432fa1ee8f70de43bbd457348756,UT NP BRCA PATH (3),BRYCE CANYON SHARED USE PATH,237310.0,2000000.0,$2 MILLION TO $5 MILLION,2024-10-01,2024-12-01,FHWA - Central Federal Lands Highway Division,,UT,USA,Fixed Fee,8(a) non-competitive,,"{'agency': 'FHWA', 'fy': '2025', 'procurement_category': 'Construction', 'incumbentcontract_number': 'nan', 'updates': 'nan', 'contact_name': 'Joe Wilson', 'contact_email': 'CFLacquisitions@dot.gov', 'contact_phone': '(720) 963-3638', 'is_this_a_followon_to_a_current_8a_contract': 'No', 'is_this_funded_through_the_american_recovery_and_reinvestment_act': 'nan', 'contract_awarded': 'No', 'expected_period_of_performance__start': 'May 2025', 'expected_period_of_performance__end': 'September 2025', 'personnel_clearance_requirements': 'No', 'date_modified': 'June 7, 2024', 'incumbent_contractor': 'nan', 'contract_vehicle': 'nan', 'bipartisan_infrastructure_law_opportunity': 'nan'}"
DOT,2024-085,bd18c892dda2dbd0f9416e842c366d7f,PR ER DOT PRMNT RPR(18),Landslide repairs in Ciales.,237310.0,5000000.0,$5 MILLION TO $10 MILLION,2024-10-01,,FHWA - Eastern Federal Lands Highway Division,,,USA,,Small Business Set-Aside,,"{'agency': 'FHWA', 'fy': '2024', 'procurement_category': 'Construction', 'incumbentcontract_number': 'nan', 'updates': 'Acquisition Planning Stage', 'contact_name': 'C. Shawn Long', 'contact_email': 'EFLHD.Contracts@dot.gov', 'contact_phone': 'nan', 'is_this_a_followon_to_a_current_8a_contract': 'No', 'is_this_funded_through_the_american_recovery_and_reinvestment_act': 'nan', 'contract_awarded': 'No', 'expected_period_of_performance__start': 'nan', 'expected_period_of_performance__end': 'nan', 'personnel_clearance_requirements': 'No', 'date_modified': 'August 25, 2023', 'incumbent_contractor': 'nan', 'contract_vehicle': 'nan', 'bipartisan_infrastructure_law_opportunity': 'nan'}"
DOT,2025-036,ef817f2d2be7c088816efb766da387f8,"DC NP ROCR 503(1), 24(2)","Project DC NP ROCR 503(1), 24(2) consists of roadway repair and additional improvements on Waterside Drive in Rock Creek Park and on Piney Branch Parkway in Piney Branch Park in Washington, D.C. The work includes roadway full depth reconstruction, milling and overlay, curb and gutter replacement, guardrail replacement, light post replacement, drainage improvements, sidewalk installation, and other miscellaneous work.",,5000000.0,$5 MILLION TO $10 MILLION,2024-10-01,2025-02-01,FHWA - Eastern Federal Lands Highway Division,,DC,USA,,Small Business Set-Aside,,"{'agency': 'FHWA', 'fy': '2025', 'procurement_category': 'Construction', 'incumbentcontract_number': 'nan', 'updates': 'nan', 'contact_name': 'C. Shawn Long', 'contact_email': 'EFLHD.Contracts@dot.gov', 'contact_phone': 'nan', 'is_this_a_followon_to_a_current_8a_contract': 'No', 'is_this_funded_through_the_american_recovery_and_reinvestment_act': 'nan', 'contract_awarded': 'No', 'expected_period_of_performance__start': 'February 2025', 'expected_period_of_performance__end': 'February 2026', 'personnel_clearance_requirements': 'No', 'date_modified': 'August 5, 2024', 'incumbent_contractor': 'nan', 'contract_vehicle': 'nan', 'bipartisan_infrastructure_law_opportunity': 'nan'}"
DOT,2023-020,fd8136e216ebf099694167f9253bc3e2,AK USFS Chug1004_9(1) Vagt Lake Trailhead,"Road, Highway, and/or Bridge Construction Project. This project includes construction of a trailhead for the
Iditarod National Historic Trail- Vagt Lake connector segment. Work includes trail improvement to the existing Vagt Lake Trail, a non-motorized small watercraft boat launch (onto Lower Trail Lake), a new OHV parking area, and a vault toilet.",237310.0,700000.0,$700000 TO $2 MILLION,2024-10-01,2024-12-01,FHWA - Western Federal Lands Highway Division,,AK,USA,Fixed Fee,Small Business Set-Aside,,"{'agency': 'FHWA', 'fy': '2025', 'procurement_category': 'Construction', 'incumbentcontract_number': 'nan', 'updates': 'nan', 'contact_name': 'WFL Contract', 'contact_email': 'wfl.contracts@dot.gov', 'contact_phone': '(360) 619-7520', 'is_this_a_followon_to_a_current_8a_contract': 'No', 'is_this_funded_through_the_american_recovery_and_reinvestment_act': 'nan', 'contract_awarded': 'No', 'expected_period_of_performance__start': 'March 2025', 'expected_period_of_performance__end': 'September 2025', 'personnel_clearance_requirements': 'No', 'date_modified': 'nan', 'incumbent_contractor': 'nan', 'contract_vehicle': 'nan', 'bipartisan_infrastructure_law_opportunity': 'Yes'}"
DOT,2023-060,d560345db960ee27916dac836ab4ee39,FHWA Programmatic Support Services,FHWA Office of Directors of Field Services will seek Professional Engineering Services to provide technical and administrative support to the FHWA Divisions’ stewardship and oversight responsibilities in administering Federal-aid highway projects that are funded and awarded under the transportation bill (BIL).,541611.0,5000000.0,$5 MILLION TO $10 MILLION,2024-10-01,,FHWA - Washington DC / Office of Contracts and Procurement,,,USA,,8(a) Competitive,,"{'agency': 'FHWA', 'fy': '2025', 'procurement_category': 'Engineering Services', 'incumbentcontract_number': 'nan', 'updates': 'nan', 'contact_name': 'Jessie Yung', 'contact_email': 'Jessie.Yung@dot.gov', 'contact_phone': '202-815-1510', 'is_this_a_followon_to_a_current_8a_contract': 'Yes', 'is_this_funded_through_the_american_recovery_and_reinvestment_act': 'nan', 'contract_awarded': 'No', 'expected_period_of_performance__start': 'nan', 'expected_period_of_performance__end': 'nan', 'personnel_clearance_requirements': 'nan', 'date_modified': 'nan', 'incumbent_contractor': 'nan', 'contract_vehicle': 'nan', 'bipartisan_infrastructure_law_opportunity': 'nan'}"
DOT,2- Facilities & Security Services Group,5e96e12738dcb8a74e2f48f66ab79ee5,"Facilities & Security Services Group REFURBISH QMV ARSR (Mill Valley, CA) Roof and Exterior Wall Leaks - Emergency","Building exterior moisture proofing and flashing of multiple building structural appendages to prevent water and moisture from seeping into building walls.  Repairs include the removal of existing liquid applied membrane, installing a strong stable roofing substrate foundation on the flat portions of the building corners and finishing with high tensile-strength reinforcing mesh and polyurethane resin. Install lead flashing on structural members and stainless steel flashing on roof edges.",,250000.0,$250000 TO $700000,2024-10-01,2024-10-01,FAA - Mike Monroney Aeronautical Center,,CA,USA,Fixed Fee,8(a) Competitive,,"{'agency': 'FAA', 'fy': '2025', 'procurement_category': 'Construction', 'incumbentcontract_number': 'nan', 'updates': 'IN PROGRESS', 'contact_name': 'Veronica Baron', 'contact_email': 'Veronica.Baron@faa.gov', 'contact_phone': 'nan', 'is_this_a_followon_to_a_current_8a_contract': 'No', 'is_this_funded_through_the_american_recovery_and_reinvestment_act': 'nan', 'contract_awarded': 'No', 'expected_period_of_performance__start': 'October 2024', 'expected_period_of_performance__end': 'December 2024', 'personnel_clearance_requirements': 'Yes', 'date_modified': 'September 3, 2024', 'incumbent_contractor': 'MIWOK', 'contract_vehicle': 'QVL', 'bipartisan_infrastructure_law_opportunity': 'No'}"
DOT,34-Facilities & Security Services Group,d2104da82dec700451968e53ccd319d2,"Facilities & Security Services Group-21006725 Replace Deteriorated LCH MALSF building for RWY 33 MALSF at Lake Charles Regional Airport (LCH), Lake Charles, LA",Shelter replacement,,700000.0,$700000 TO $2 MILLION,2024-10-01,2024-10-01,FAA - Mike Monroney Aeronautical Center,,LA,USA,Fixed Fee,8(a) Competitive,,"{'agency': 'FAA', 'fy': '2025', 'procurement_category': 'Construction', 'incumbentcontract_number': 'nan', 'updates': 'nan', 'contact_name': 'Ralph Bustamante', 'contact_email': 'ralph.bustamante@faa.gov', 'contact_phone': 'nan', 'is_this_a_followon_to_a_current_8a_contract': 'No', 'is_this_funded_through_the_american_recovery_and_reinvestment_act': 'nan', 'contract_awarded': 'No', 'expected_period_of_performance__start': 'October 2024', 'expected_period_of_performance__end': 'December 2024', 'personnel_clearance_requirements': 'nan', 'date_modified': 'September 4, 2024', 'incumbent_contractor': 'nan', 'contract_vehicle': 'nan', 'bipartisan_infrastructure_law_opportunity': 'Yes'}"
DOT,,332505589ae201d9758c50caf874b94e,Fairchild-Swearingen SA-227 (Metroliner) Recurrent Pilot Qualification Training,Fairchild-Swearingen SA-227 (Metroliner) Recurrent Pilot Qualification Training,611512.0,,TBD,2024-10-01,2024-11-01,FAA - Mike Monroney Aeronautical Center,,OK,USA,,Sole Source,,"{'agency': 'FAA', 'fy': '2025', 'procurement_category': 'Education Services', 'incumbentcontract_number': 'nan', 'updates': 'In progress', 'contact_name': 'barry carrington', 'contact_email': 'barry.carrington@faa.gov', 'contact_phone': '405-954-1081', 'is_this_a_followon_to_a_current_8a_contract': 'No', 'is_this_funded_through_the_american_recovery_and_reinvestment_act': 'nan', 'contract_awarded': 'No', 'expected_period_of_performance__start': 'November 2024', 'expected_period_of_performance__end': 'November 2025', 'personnel_clearance_requirements': 'No', 'date_modified': 'September 5, 2024', 'incumbent_contractor': 'nan', 'contract_vehicle': 'FFP', 'bipartisan_infrastructure_law_opportunity': 'nan'}"
DOT,,42a0161214cb94a1ddc411c7e0400dc9,AS-332 Super Puma Helicopter Pilot Qualification Training,AS-332 Super Puma Helicopter pilot qualification training for FAA ASI's and Flight Test Pilots,611512.0,,,2024-10-01,2024-02-01,FAA - Mike Monroney Aeronautical Center,,,USA,,To be determined,,"{'agency': 'FAA', 'fy': '2024', 'procurement_category': 'Services (not listed)', 'incumbentcontract_number': 'nan', 'updates': 'market research', 'contact_name': 'Katie Nguyen', 'contact_email': 'katie.c.nguyen@faa.gov', 'contact_phone': 'nan', 'is_this_a_followon_to_a_current_8a_contract': 'No', 'is_this_funded_through_the_american_recovery_and_reinvestment_act': 'nan', 'contract_awarded': 'No', 'expected_period_of_performance__start': 'February 2024', 'expected_period_of_performance__end': 'August 2024', 'personnel_clearance_requirements': 'No', 'date_modified': 'August 17, 2023', 'incumbent_contractor': 'nan', 'contract_vehicle': 'purchase order', 'bipartisan_infrastructure_law_opportunity': 'nan'}"
