source,native_id,id,requirement_title,requirement_description,naics,estimated_value,est_value_unit,solicitation_date,award_date,office,place_city,place_state,place_country,contract_type,set_aside,loaded_at,extra
HHS,,e21bc65e482396060b8e554de89e5b1a,Ricoh,equipment,TBD,25000.0,> $25K AND < $250K,,2033-03-01,IHS,,,USA,To be determined,,,"{'program_office_poc_first_name': 'Melissa', 'program_office_poc_last_name': 'Wakonabo', 'program_office_poc_email': 'Melissa.wakonabo@ihs.gov', 'program_poc_office': 'nan', 'contracting_office': 'nan', 'co_first_name': 'nan', 'co_last_name': 'nan', 'co_email': 'nan', 'incumbent_contractor': 'nan'}"
HHS,,fc1942e25eeb41f1b50307b1e8c94fcb,MEDICAL SUPPLIES - (colostomy supplies),MEDICAL SUPPLIES - (colostomy supplies),621399 : Offices of All Other Miscellaneous Health Practitioners,,TBD,,2024-01-01,IHS,,,USA,Small Business Set-Aside,,,"{'program_office_poc_first_name': 'Eric', 'program_office_poc_last_name': 'Wright', 'program_office_poc_email': 'eric.wright@ihs.gov', 'program_poc_office': '75H707', 'contracting_office': '75H707', 'co_first_name': 'nan', 'co_last_name': 'nan', 'co_email': 'nan', 'incumbent_contractor': 'nan'}"
HHS,,7c1490ca4630a73cfedf3a7768257015,Blood Culture Collection set,Blood Culture Collection set,334516 : Analytical Laboratory Instrument Manufacturing,,TBD,,2024-01-01,IHS,,,USA,Small Business Set-Aside,,,"{'program_office_poc_first_name': 'Angela', 'program_office_poc_last_name': 'Kanteena', 'program_office_poc_email': 'Angela.kanteena@ihs.gov', 'program_poc_office': '75H707', 'contracting_office': '75H707', 'co_first_name': 'nan', 'co_last_name': 'nan', 'co_email': 'nan', 'incumbent_contractor': 'nan'}"
HHS,,a96da7b0a11f7f460d24d4c83963b0bb,ANNUAL SOFTWARE MAINTENANCE PRODUCT/THERMAL WRISTBANDS & LABEL SUPPLIES,ANNUAL SOFTWARE MAINTENANCE PRODUCT/THERMAL WRISTBANDS & LABEL SUPPLIES,334118 : Computer Terminal and Other Computer Peripheral Equipment Manufacturing,,TBD,,2024-01-01,IHS,,,USA,Small Business Set-Aside,,,"{'program_office_poc_first_name': 'Eric', 'program_office_poc_last_name': 'Wright', 'program_office_poc_email': 'eric.wright@ihs.gov', 'program_poc_office': '75H707', 'contracting_office': '75H707', 'co_first_name': 'nan', 'co_last_name': 'nan', 'co_email': 'nan', 'incumbent_contractor': 'nan'}"
HHS,,36f9102201da89509d22fb7ebb9684be,"BIO-WASTE REMOVAL -SFIH, CHC, SFHC, SCHC","BIO-WASTE REMOVAL -SFIH, CHC, SFHC, SCHC",238210 : Electrical Contractors and Other Wiring Installation Contractors,,TBD,,2024-01-01,IHS,,,USA,Small Business Set-Aside,,,"{'program_office_poc_first_name': 'Eric', 'program_office_poc_last_name': 'Wright', 'program_office_poc_email': 'eric.wright@ihs.gov', 'program_poc_office': '75H707', 'contracting_office': '75H707', 'co_first_name': 'nan', 'co_last_name': 'nan', 'co_email': 'nan', 'incumbent_contractor': 'nan'}"
HHS,,fbe742a913f6698b924a7c9fbf8394fd,3 Medical Assistants to perform direct patient care,3 Medical Assistants to perform direct patient care,621399 : Offices of All Other Miscellaneous Health Practitioners,,TBD,,2024-01-01,IHS,,,USA,Small Business Set-Aside,,,"{'program_office_poc_first_name': 'Eric', 'program_office_poc_last_name': 'Wright', 'program_office_poc_email': 'eric.wright@ihs.gov', 'program_poc_office': '75H707', 'contracting_office': '75H707', 'co_first_name': 'nan', 'co_last_name': 'nan', 'co_email': 'nan', 'incumbent_contractor': 'nan'}"
HHS,,59f0c6d43f06bba35c1083fd899db89c,Laboratory refrigerators,Laboratory refrigerators,333415 : Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,TBD,,2024-01-01,IHS,,,USA,Small Business Set-Aside,,,"{'program_office_poc_first_name': 'Bernardh', 'program_office_poc_last_name': 'Ghachu', 'program_office_poc_email': 'bernard.ghachu@ihs.gov', 'program_poc_office': '75H707', 'contracting_office': '75H707', 'co_first_name': 'nan', 'co_last_name': 'nan', 'co_email': 'nan', 'incumbent_contractor': 'nan'}"
HHS,,d0d326dd4eb3e00095103bde9465d3be,Accutome 4Sight box with signature,Accutome 4Sight box with signature,339112 : Surgical and Medical Instrument Manufacturing,,TBD,,2024-01-01,IHS,,,USA,Small Business Set-Aside,,,"{'program_office_poc_first_name': 'Keith', 'program_office_poc_last_name': 'Martinez', 'program_office_poc_email': 'keith.marinez@ihs.gov', 'program_poc_office': '75H707', 'contracting_office': '75H707', 'co_first_name': 'nan', 'co_last_name': 'nan', 'co_email': 'nan', 'incumbent_contractor': 'nan'}"
HHS,,d6091b8d9e5c040adb1999fc11226a31,MEDICAL SUPPLIES - (various medical supplies),MEDICAL SUPPLIES - (various medical supplies),621399 : Offices of All Other Miscellaneous Health Practitioners,,TBD,,2024-01-01,IHS,,,USA,Small Business Set-Aside,,,"{'program_office_poc_first_name': 'Eric', 'program_office_poc_last_name': 'Wright', 'program_office_poc_email': 'eric.wright@ihs.gov', 'program_poc_office': '75H707', 'contracting_office': '75H707', 'co_first_name': 'nan', 'co_last_name': 'nan', 'co_email': 'nan', 'incumbent_contractor': 'nan'}"
HHS,,b35b6dba3537dd744b9c8fc6d140454d,MEDICAL SUPPLIES - (orthopedic supplies),MEDICAL SUPPLIES - (orthopedic supplies),621399 : Offices of All Other Miscellaneous Health Practitioners,,TBD,,2024-01-01,IHS,,,USA,Small Business Set-Aside,,,"{'program_office_poc_first_name': 'Eric', 'program_office_poc_last_name': 'Wright', 'program_office_poc_email': 'eric.wright@ihs.gov', 'program_poc_office': '75H707', 'contracting_office': '75H707', 'co_first_name': 'nan', 'co_last_name': 'nan', 'co_email': 'nan', 'incumbent_contractor': 'nan'}"
