Type,Code,Raw Value,Count,Description/Issue
Valid,541519,541519,783,Other Computer Related Services
Valid,541990,541990,523,"All Other Professional, Scientific and Technical Services"
Valid,561320,561320,416,Temporary Help Services
Valid,541611,541611,385,Administrative Management and General Management Consulting Services
Valid,541512,541512,323,Computer Systems Design Services
Valid,236220,236220,298,Commercial and Institutional Building Construction
Valid,334516,334516,269,Analytical Laboratory Instrument Manufacturing
Valid,518210,518210,247,"Data Processing, Hosting, and Related Services"
Valid,541690,541690,204,Other Scientific and Technical Consulting Services
Valid,541330,541330,200,Engineering Services
Valid,336611,336611,191,Ship Building and Repairing
Valid,541511,541511,183,Custom Computer Programming Services
Valid,541715,541715,142,"Research and Development in the Physical, Engineering, and Life Sciences"
Valid,334111,334111,105,Electronic Computer Manufacturing
Valid,561990,561990,105,All Other Support Services
Valid,541370,541370,104,Surveying and Mapping (except Geophysical) Services
Valid,511210,511210,91,Software Publishers
Valid,237110,237110,85,Water and Sewer Line and Related Structures Construction
Valid,334413,334413,84,Semiconductor and Related Device Manufacturing
Valid,238210,238210,83,Electrical Contractors and Other Wiring Installation Contractors
Valid,621399,621399,78,Offices of All Other Miscellaneous Health Practitioners
Valid,561210,561210,77,Facilities Support Services
Valid,238220,238220,75,"Plumbing, Heating and Air-Conditioning Contractors"
Valid,561621,561621,71,Security Systems Services (except Locksmiths)
Valid,621111,621111,67,Offices of Physicians (except Mental Health Specialists)
Valid,621512,621512,61,Diagnostic Imaging Centers
Valid,611430,611430,59,Professional and Management Development Training
Valid,621511,621511,48,Medical Laboratories
Valid,334519,334519,46,Other Measuring and Controlling Device Manufacturing
Valid,811310,811310,44,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
Valid,541620,541620,42,Environmental Consulting Services
Valid,334511,334511,40,Navigational and Guidance Instruments Manufacturing
Valid,334290,334290,37,Other Communications Equipment Manufacturing
Valid,541618,541618,35,Other Management Consulting Services
Valid,334118,334118,33,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
Valid,561612,561612,33,Security Guard and Patrol Services
Valid,621999,621999,31,All Other Miscellaneous Ambulatory Health Care Services
Valid,561720,561720,30,Janitorial Services
Valid,561110,561110,28,Office Administrative Services
Valid,238160,238160,25,Roofing Contractors
Valid,541513,541513,25,Computer Facilities Management Services
